,sex,age,marital,is_parent,education_level,emplnw,disabled,party,ideology,race,income,hh1,number_in_hh,reg_voter,email_use,mobile_phone,home_int,broadband,smartphone,library_onsite,library_website,visit_freq,educ2_ordinal,inc_ordinal,libusea_ordinal,has_visited
57,Male,32,Cohabitating,Yes,Some College,Full Time,No,Democrat,Moderate,Hispanic,$20K-$30K,2,Suburb,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Weekly,4,3,2,Yes
58,Male,35,Separated,No,HS Grad,Part Time,No,Independent,Consrv,Hispanic,$20K-$30K,3,Small City or Town,Probably,Yes,Yes,Yes,Dial-Up,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,3,3,2,Yes
59,Female,37,Married,No,HS Grad,Part Time,No,Republican,Consrv,Hispanic,$100K-$150K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,3,8,1,Yes
60,Male,30,Never Married,No,Bach Degree,Full Time,No,Independent,Moderate,Hispanic,$50K-$75K,1,Suburb,Probably,No,No,Unknown,Unknown,Unknown,"Yes, < 12 Mo.",Never,Weekly,6,6,2,Yes
61,Female,40,Married,Yes,Grad School,Full Time,No,Independent,Moderate,Hispanic,$50K-$75K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,8,6,2,Yes
62,Male,21,Never Married,No,Bach Degree,Full Time,No,Unknown,Very Liberal,Hispanic,$10K-$20K,2,Large City,Probably,No,Yes,No,Unknown,Yes,Never,Never,Unknown,6,2,0,No
63,Female,55,Widowed,Yes,Bach Degree,Unemployed,No,Democrat,Moderate,Hispanic,$50K-$75K,5,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,6,6,2,Yes
64,Female,70,Married,No,Bach Degree,Retired,No,Democrat,Liberal,Hispanic,$100K-$150K,2,Suburb,Definitely,Yes,No,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,8,1,Yes
65,Female,17,Never Married,Yes,Some College,Part Time,No,Independent,Moderate,Hispanic,$40K-$50K,1,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,4,5,2,Yes
66,Male,20,Never Married,No,HS Grad,Student,No,Independent,Consrv,Hispanic,$20K-$30K,5,Large City,Probably,Yes,Yes,Yes,Dial-Up,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,3,3,2,Yes
67,Male,55,Married,No,No HS,Full Time,Yes,Independent,Consrv,Hispanic,$50K-$75K,4,Large City,Definitely,Yes,No,No,Unknown,No,"Yes, < 12 Mo.",Never,Less Often,1,6,2,Yes
68,Male,28,Married,No,Assoc Degree,Full Time,No,Democrat,Moderate,Hispanic,$100K-$150K,3,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,5,8,0,No
69,Female,45,Separated,Yes,HS Grad,Full Time,No,Democrat,Consrv,Hispanic,Unknown,2,Large City,Refused,No,No,Unknown,Unknown,Yes,"Yes, < 12 Mo.",Never,Less Often,3,0,2,Yes
70,Female,21,Never Married,No,Some Grad School,Part Time,No,Republican,Consrv,Hispanic,$150K+,4,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,7,9,2,Yes
71,Female,23,Married,Yes,Assoc Degree,Unemployed,No,Democrat,Very Liberal,Hispanic,$75K-$100K,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Weekly,5,7,2,Yes
72,Male,16,Never Married,No,Some HS,Unemployed,No,Democrat,Liberal,Hispanic,$50K-$75K,2,Rural,Probably,Yes,Yes,Yes,Higher Speed,Yes,Never,"Yes, > 12 Mo.",Unknown,2,6,0,No
73,Female,31,Separated,Yes,Assoc Degree,Part Time,No,Democrat,Moderate,Hispanic,<$10K,2,Large City,Probably,No,Yes,Yes,Dial-Up,Unknown,"Yes, < 12 Mo.",Never,Less Often,5,1,2,Yes
74,Female,28,Separated,Yes,Some HS,Part Time,No,No Preference,Consrv,Hispanic,$10K-$20K,1,Small City or Town,Probably,No,No,Unknown,Unknown,No,Never,Never,Unknown,2,2,0,No
75,Male,51,Married,No,No HS,Unemployed,Yes,Republican,Very Liberal,Hispanic,Unknown,3,Small City or Town,Definitely,Yes,Yes,No,Unknown,No,"Yes, < 12 Mo.",Never,Semi-Monthly,1,0,2,Yes
76,Male,56,Married,Yes,Bach Degree,Retired,Yes,Democrat,Consrv,Hispanic,$100K-$150K,3,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,6,8,2,Yes
77,Male,22,Never Married,No,Some HS,Full Time,No,Independent,Very Liberal,Hispanic,$10K-$20K,4,Large City,Probably,Yes,Yes,Yes,Higher Speed,No,Never,Never,Unknown,2,2,0,No
78,Female,40,Married,Yes,HS Grad,Part Time,No,Democrat,Consrv,Hispanic,$20K-$30K,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,3,3,1,Yes
79,Male,39,Never Married,No,HS Grad,Full Time,No,No Preference,Moderate,Hispanic,<$10K,3,Large City,Probably,Yes,No,No,Unknown,No,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,3,1,2,Yes
80,Male,19,Never Married,No,HS Grad,Part Time,No,Independent,Unknown,Hispanic,Unknown,2,Small City or Town,Probably,Yes,Yes,Yes,Dial-Up,Yes,"Yes, > 12 Mo.",Never,Unknown,3,0,1,Yes
81,Male,20,Never Married,No,HS Grad,Unemployed,No,No Preference,Moderate,Hispanic,<$10K,1,Rural,Unknown,No,Yes,No,Unknown,No,"Yes, < 12 Mo.",Never,Less Often,3,1,2,Yes
82,Male,54,Divorced,Yes,Grad School,Full Time,No,Republican,Moderate,Hispanic,Refused,1,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, > 12 Mo.",Monthly,8,0,2,Yes
83,Male,18,Never Married,No,HS Grad,Part Time,No,Independent,Very Liberal,Hispanic,$20K-$30K,3,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Unknown,"Yes, > 12 Mo.","Yes, < 12 Mo.",Unknown,3,3,1,Yes
84,Female,16,Never Married,No,Some HS,Unemployed,No,Independent,Consrv,Hispanic,<$10K,3,Small City or Town,Probably,Yes,Yes,Yes,Dial-Up,Yes,"Yes, < 12 Mo.",Never,Weekly,2,1,2,Yes
85,Female,68,Married,No,HS Grad,Retired,Yes,Independent,Consrv,Hispanic,$10K-$20K,2,Large City,Definitely,Yes,No,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,3,2,1,Yes
86,Female,78,Widowed,No,Bach Degree,Retired,No,Republican,Consrv,Hispanic,<$10K,1,Large City,Definitely,No,No,Unknown,Unknown,Yes,"Yes, < 12 Mo.",Never,Less Often,6,1,2,Yes
87,Female,45,Married,Yes,Bach Degree,Full Time,No,No Preference,Liberal,Hispanic,$100K-$150K,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,6,8,2,Yes
88,Male,21,Never Married,No,Assoc Degree,Full Time,No,Independent,Moderate,Hispanic,$50K-$75K,3,Suburb,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,5,6,1,Yes
89,Male,43,Married,Yes,HS Grad,Unemployed,No,Democrat,Moderate,Hispanic,$100K-$150K,3,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,3,8,2,Yes
90,Male,43,Divorced,No,Some College,Full Time,No,Democrat,Liberal,Hispanic,$100K-$150K,1,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,4,8,1,Yes
91,Female,25,Never Married,No,Bach Degree,Full Time,No,Independent,Liberal,Hispanic,$100K-$150K,4,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,6,8,2,Yes
92,Male,42,Separated,No,Bach Degree,Full Time,No,No Preference,Unknown,Hispanic,Unknown,1,Large City,Probably,Yes,Yes,Yes,Dial-Up,Unknown,Never,Never,Unknown,6,0,0,No
93,Male,50,Married,No,HS Grad,Full Time,No,Democrat,Consrv,Hispanic,$10K-$20K,2,Suburb,Definitely,Yes,Yes,Yes,Cell Phone Only,Yes,Never,Never,Unknown,3,2,0,No
94,Female,62,Married,No,HS Grad,Full Time,Unknown,Independent,Moderate,Hispanic,$10K-$20K,4,Large City,Probably,No,Yes,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Weekly,3,2,2,Yes
95,Male,35,Never Married,No,Grad School,Full Time,No,Democrat,Liberal,Hispanic,$75K-$100K,1,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,8,7,0,No
96,Female,89,Refused,No,HS Grad,Unemployed,Yes,Independent,Liberal,Hispanic,$10K-$20K,1,Large City,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, > 12 Mo.",Never,Unknown,3,2,1,Yes
97,Male,37,Married,Yes,Bach Degree,Unemployed,No,Democrat,Consrv,Hispanic,Refused,2,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,6,0,0,No
98,Female,38,Married,Yes,Bach Degree,Full Time,No,No Preference,Unknown,Hispanic,Unknown,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Unknown,Less Often,6,0,2,Yes
99,Male,63,Widowed,No,No HS,Full Time,No,No Preference,Consrv,Hispanic,$30K-$40K,4,Suburb,Definitely,No,Yes,Yes,Dial-Up,Yes,Never,Never,Unknown,1,4,0,No
100,Male,45,Never Married,No,HS Grad,Part Time,No,Independent,Very Liberal,Hispanic,$10K-$20K,2,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,3,2,1,Yes
101,Female,51,Never Married,Yes,Some College,Full Time,No,No Preference,Very Consrv,Hispanic,$40K-$50K,2,Refused,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,4,5,1,Yes
102,Female,52,Married,No,HS Grad,Full Time,No,Democrat,Moderate,Hispanic,$50K-$75K,3,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,3,6,2,Yes
103,Female,19,Never Married,No,Some HS,Unemployed,No,Independent,Consrv,Hispanic,Unknown,3,Rural,Probably,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,2,0,0,No
104,Male,37,Cohabitating,No,Some HS,Unemployed,No,Unknown,Unknown,Hispanic,$10K-$20K,1,Unknown,Probably,Yes,Yes,No,Unknown,Yes,"Yes, < 12 Mo.",Never,Monthly,2,2,2,Yes
105,Male,48,Married,Yes,No HS,Full Time,No,No Preference,Unknown,Hispanic,Unknown,6,Small City or Town,Probably,No,Yes,No,Unknown,Yes,Never,Never,Unknown,1,0,0,No
106,Male,19,Never Married,No,HS Grad,Full Time,No,Independent,Moderate,Hispanic,<$10K,3,Large City,Probably,Yes,Yes,No,Unknown,Yes,Never,Never,Unknown,3,1,0,No
107,Female,61,Widowed,No,HS Grad,Retired,Yes,Independent,Moderate,Hispanic,$20K-$30K,1,Small City or Town,Probably,No,No,No,Unknown,No,Never,Never,Unknown,3,3,0,No
108,Male,62,Married,No,Grad School,Retired,No,Democrat,Moderate,Hispanic,$10K-$20K,3,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,No,"Yes, < 12 Mo.",Never,Weekly,8,2,2,Yes
109,Female,30,Married,Yes,Bach Degree,Unemployed,No,Republican,Consrv,Hispanic,$40K-$50K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,6,5,2,Yes
110,Female,21,Never Married,No,Assoc Degree,Unemployed,No,No Preference,Very Consrv,Hispanic,Unknown,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,5,0,2,Yes
111,Male,28,Cohabitating,No,No HS,Unemployed,No,No Preference,Unknown,Hispanic,<$10K,2,Small City or Town,Probably,No,No,No,Unknown,No,Never,Never,Unknown,1,1,0,No
112,Male,18,Never Married,No,HS Grad,Part Time,No,Independent,Moderate,Hispanic,Unknown,2,Suburb,Probably,Yes,No,Yes,Dial-Up,Yes,"Yes, < 12 Mo.",Never,Weekly,3,0,2,Yes
113,Male,23,Never Married,No,HS Grad,Full Time,No,Democrat,Liberal,Hispanic,<$10K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,3,1,2,Yes
114,Female,64,Divorced,No,Some College,Retired,Yes,Independent,Moderate,Hispanic,$10K-$20K,1,Rural,Probably,No,No,Unknown,Unknown,Unknown,Never,Never,Unknown,4,2,0,No
115,Male,19,Never Married,No,Some College,Unemployed,No,Independent,Liberal,Hispanic,Refused,3,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,4,0,2,Yes
116,Male,22,Never Married,No,Some College,Part Time,No,Democrat,Very Liberal,Hispanic,$100K-$150K,4,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,4,8,2,Yes
117,Female,83,Widowed,No,HS Grad,Unemployed,No,Democrat,Moderate,Hispanic,$20K-$30K,2,Suburb,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, > 12 Mo.",Never,Unknown,3,3,1,Yes
118,Female,24,Never Married,Yes,Some College,Full Time,No,Independent,Moderate,Hispanic,$10K-$20K,1,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Monthly,4,2,2,Yes
119,Male,24,Never Married,No,Assoc Degree,Full Time,No,Democrat,Very Liberal,Hispanic,$20K-$30K,3,Rural,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,5,3,2,Yes
